集团公司银行账户总数,已纳入司库管理,境内银行账户,境内银企直联率,境外银行账户,境外账户可视率,新审批开立账户,撤销合作银行账户,集团公司共与系统外单位发生结算交易,系统结算支出,系统结算率,集团公司全口径资金集中度,可归集口径资金集中度,集团公司担保规模,特殊担保,集团公司应收票据余额,金融产品投资账面成本合计,合计盈利,商品类业务浮动盈利,实际亏损,对应实货亏损,期现结合后总盈利,因收款方纳入供应商黑名单拦截付款,涉及拦截敏感词提示,集团公司司库系统供应商名录,因资金支付收款方为失信供应商提示,因预算额度不足拦截提示,因支付账户余额不足拦截提示,资金流水摘要信息不全,结算账户使用不规范,数据年月
NoData,NoData,NoData,NoData,NoData,NoData,18个,36个,NoData,NoData,NoData,NoData,NoData,203.2亿元,37亿元,74.4亿元,220.8亿元,NoData,NoData,0.2亿元,NoData,0.3亿元,1笔,NoData,NoData,NoData,10笔,4笔,13笔,50个,2024年1月
NoData,NoData,NoData,93.9%,NoData,92.5%,NoData,4个,365.7亿元（10.4万笔）,259.7亿元（6.8万笔）,65.2%,81.8%,88.0%,205.0亿元,38.1亿元,67.4亿元,217.3亿元,NoData,0.3亿元,1.2亿元,NoData,0.4亿元,1笔,NoData,NoData,NoData,37笔,5笔,12笔,50个,2024年2月
4108个,3906个,3215个,95.2%,691个,90.7%,48个,38个,211.7亿元（14.1万笔）,148.7亿元（11.4万笔）,80.9%,78.8%,90.6%,196.7亿元,30.1亿元,63.3亿元,225.9亿元,NoData,0.3亿元,2.6亿元,NoData,0.5亿元,1笔,NoData,NoData,NoData,38笔,4笔,11笔,47个,2024年3月
4083个,3885个,3163个,96.4%,722个,91.1%,24个,38个,424.0亿元（24.4万笔）,392.8亿元（23.7万笔）,96.9%,88.3%,97.5%,194.0亿元,27.7亿元,61.3亿元,218.1亿元,1.2亿元,NoData,4.9亿元,NoData,0.8亿元,NoData,NoData,NoData,NoData,37笔,6笔,11笔,46个,2024年4月
4104个,3900个,3175个,96.4%,725个,91.2%,38个,15个,313.3亿元,283.9亿元,97.4%,89.1%,97.7%,201.4亿元,26.1亿元,59.6亿元,NoData,3.5亿元,NoData,NoData,NoData,NoData,NoData,31笔,NoData,NoData,33笔,NoData,18笔,35个,2024年5月
4098个,3890个,3165个,96.9%,725个,91.2%,8个,14个,315.1亿元,277.2亿元,96.7%,85.6%,95.4%,192.1亿元,20.1亿元,49.2亿元,246亿元,0.3亿元,0.9亿元,6.0亿元,NoData,0.6亿元,NoData,32笔,NoData,1笔,33笔,7笔,10笔,22个,2024年6月
4103个,3902个,3177个,96.8%,725个,91.2%,32个,7个,467.0亿元,436.7亿元,97.2%,87.0%,95.5%,180.8亿元,20.7亿元,45.5亿元,247.3亿元,0.3亿元,2.58亿元,4.01亿元,NoData,0.43亿元,3笔,32笔,NoData,NoData,36笔,1笔,9笔,21个,2024年7月
4101个,3900个,3175个,96.6%,725个,91.2%,10个,12个,275.6亿元（24.3万笔）,246.3亿元（23.7万笔）,97.4%,86.7%,95.4%,181.6亿元,22.1亿元,45.5亿元,255.7亿元,NoData,NoData,3.4亿元,NoData,0.6亿元,NoData,42笔,NoData,NoData,30笔,3笔,11笔,18个,2024年8月
4102个,3898个,3179个,NoData,719个,NoData,16个,15个,321.88亿元（26.71万笔）,302.47亿元（26.19万笔）,NoData,NoData,95.5%,179.0亿元,22.4亿元,46.9亿元,239.4亿元,2.3亿元,1.3亿元,3.7亿元,NoData,0.5亿元,2笔,NoData,152603家,NoData,41笔,NoData,7笔,16个,2024年9月
4115个,3920个,3194个,NoData,726个,NoData,23个,10个,295.4亿元（23.9万笔）,277.0亿元（23.4万笔）,NoData,NoData,95.8%,177.5亿元,22.4亿元,45.3亿元,234.2亿元,7.9亿元,3.9亿元,3.4亿元,NoData,0.7亿元,3笔,NoData,153945家,NoData,40笔,2笔,9笔,17个,2024年10月
4128个,3918个,3192个,96.8%,726个,91.2%,22个,9个,280.8亿元（21.2万笔）,245.4亿元（20.8万笔）,97.7%,85.9%,95.4%,179.0亿元,22.4亿元,46.4亿元,238.6亿元,10.4亿元,4.1亿元,1.0亿元,2.4亿元,0.7亿元,5笔,51笔,155307家,6笔,40笔,1笔,5笔,17个,2024年11月
